gene,cellex_score,expr_proportion
Gm26633,0.995406927,20.02074689
Kcnab3,0.989614509,11.95539419
Slc4a9,0.989450483,5.912863071
Tmem44,0.988832572,16.85684647
Lhx1os,0.985901264,8.350622407
Mecom,0.984488966,9.595435685
Kcna1,0.98447499,34.31016598
Usp26,0.984248054,6.639004149
Wwtr1,0.984178962,9.673236515
Gm12688,0.984120264,3.215767635
A930029G22Rik,0.983861135,17.14211618
Gm9934,0.983374718,7.806016598
Gm10851,0.982283855,19.42427386
Rnf207,0.981651972,19.65767635
A330050F15Rik,0.979913998,13.84854772
Cckbr,0.979627704,4.434647303
Cgnl1,0.97851863,17.37551867
Strip2,0.978443929,17.53112033
Sp6,0.978438193,3.112033195
Lhx1,0.977972948,4.330912863
Syt2,0.976937555,51.8153527
Coro6,0.976237831,53.99377593
Gm13629,0.974950817,61.25518672
Gm7233,0.973974418,2.178423237
0610040J01Rik,0.973261527,7.391078838
Impa2,0.973255369,8.895228216
Lypd6b,0.972764731,20.72095436
Mkx,0.972307765,38.0186722
Col19a1,0.972216103,37.39626556
Sptssb,0.972049204,5.679460581
Htr4,0.970335255,25.46680498
A330043C09Rik,0.97017657,2.489626556
Sgpp2,0.969480069,31.25
Cyp39a1,0.969455601,6.12033195
BC049352,0.969234443,2.800829876
Gm13832,0.969128925,20.69502075
5031414D18Rik,0.9690149,2.437759336
Crhr1,0.968207999,8.376556017
Acan,0.967962321,3.137966805
Plscr5,0.967477076,1.348547718
Gm16070,0.96734821,9.802904564
Mcf2,0.966964623,14.10788382
Adamts16,0.966649675,15.6120332
Slc6a5,0.966574998,35.81431535
Gm17382,0.965153076,8.402489627
Fgf3,0.965061764,1.141078838
Tmprss4,0.964204766,2.904564315
St8sia5,0.962889049,17.14211618
A330008L17Rik,0.96240876,27.23029046
Fhdc1,0.961472528,5.368257261
2210011C24Rik,0.961150163,2.697095436
Pax8,0.959725728,13.09647303
Onecut3,0.959397845,4.071576763
Steap2,0.958945274,15.94917012
Msrb3,0.958420674,21.13589212
Sema7a,0.9579075,5.9906639
Plekhd1,0.957096508,9.802904564
Scn4b,0.957063789,7.053941909
Bcan,0.956533637,36.02178423
Col26a1,0.956205209,16.98651452
Hapln1,0.956170228,7.209543568
Stard5,0.955276047,21.93983402
Gm42512,0.954551299,1.322614108
Agmat,0.954428912,3.345435685
Flt3,0.953759887,30.13485477
Kcns3,0.952396411,10.55497925
P2rx5,0.951416309,7.546680498
Plcd4,0.949013696,13.35580913
Gprc5b,0.949006509,19.5280083
Pls1,0.948826329,21.8620332
Asah2,0.948454185,11.54045643
Pax2,0.947333593,28.42323651
AW495222,0.945759481,1.945020747
Slco6c1,0.945480412,2.282157676
Gm26673,0.945313341,8.143153527
Fgf9,0.945255309,9.387966805
Lingo4,0.945136342,2.126556017
Ugt8a,0.945055612,12.86307054
Has3,0.944612512,2.671161826
Tnfrsf11a,0.94250008,7.650414938
Rassf4,0.942180289,5.160788382
Hpn,0.941051296,4.953319502
Aff1,0.940963642,23.80705394
Myo16,0.940348013,49.32572614
Rasgrp2,0.939971637,16.83091286
Nexn,0.938984431,14.60062241
Col6a3,0.938953608,2.256224066
Kcnv2,0.938272237,2.359958506
Stac2,0.938147454,35.08817427
Zfp101,0.937273504,19.45020747
Gm28154,0.936684625,3.423236515
A330033J07Rik,0.936666393,26.45228216
Epha10,0.93664533,62.68153527
Runx2,0.93546276,29.25311203
P2rx6,0.935041868,7.572614108
Gm27198,0.933883649,5.031120332
Kazald1,0.932108167,4.668049793
Lrtm1,0.93186586,11.41078838
Dchs2,0.931421336,18.02385892
Gm13942,0.931177363,0.881742739
C230035I16Rik,0.93116834,2.204356846
Onecut2,0.93104649,20.38381743
Nacc2,0.930262719,15.45643154
Oprd1,0.930227446,9.984439834
Sphk1,0.929531992,1.685684647
Rbm20,0.92915542,11.17738589
Npas1,0.928891256,2.593360996
Wnt8b,0.928297703,1.400414938
Fbxo27,0.928187264,4.927385892
Gm13205,0.927338332,5.835062241
Mlxipl,0.927141028,2.800829876
Ppargc1a,0.927119861,33.81742739
Kcna2,0.926527999,16.83091286
2600014E21Rik,0.926205847,3.578838174
Gal3st1,0.926009001,10.50311203
Lgi2,0.925176608,13.25207469
Tnfsf13b,0.924430573,8.169087137
Mitf,0.924068267,27.41182573
Lgr5,0.923264048,26.89315353
Hsd17b2,0.923200695,5.549792531
St3gal6,0.923107906,17.79045643
Chrdl1,0.922276961,2.152489627
Gm20649,0.92226523,6.846473029
Mslnl,0.922052194,1.556016598
Slc25a13,0.921688934,23.4439834
Fbxo40,0.920858074,1.244813278
Adcy8,0.920799919,54.48651452
Ifnlr1,0.920206942,3.112033195
Trim71,0.919356127,2.230290456
Gm12092,0.919096604,2.645228216
Sv2c,0.918941257,47.32883817
P3h2,0.91817919,26.24481328
Epn3,0.918008057,1.478215768
Fat3,0.917785286,59.906639
Atp7b,0.917702709,4.123443983
Gm4211,0.916970358,3.734439834
Pfkfb3,0.916591005,10.96991701
Myo19,0.916271927,13.20020747
Hapln4,0.916084875,10.14004149
Adora2b,0.915613236,2.152489627
Ptpn22,0.914575443,8.039419087
RP24-177G14.2,0.914238982,3.941908714
Rerg,0.91397956,23.93672199
Gm13561,0.913682452,2.126556017
Trpm2,0.913558426,23.9626556
Sema5b,0.913399879,14.23755187
Ccdc171,0.913395289,22.71784232
Larp1b,0.9119895,29.27904564
Maf,0.911506699,6.40560166
Nfia,0.911411965,53.31950207
Col11a1,0.911117832,37.03319502
En1,0.909493116,0.907676349
Fanca,0.909133911,3.552904564
Six4,0.908170988,1.970954357
Ccbl2,0.907841523,3.967842324
Gm7945,0.90735903,0.596473029
Alox8,0.906850094,1.530082988
Pdgfrl,0.906808274,6.768672199
Rhbdl3,0.906615509,40.56016598
Sycp2l,0.906195452,2.593360996
Luzp1,0.904795093,61.04771784
Hhatl,0.90467607,4.279045643
Myb,0.904280065,7.131742739
Tarm1,0.903985181,1.556016598
Slc27a2,0.903981555,5.783195021
A330070K13Rik,0.903686945,1.141078838
Adam18,0.903469079,2.152489627
Gm12236,0.903409605,25.85580913
Trim43c,0.902964962,4.927385892
4930590J08Rik,0.902909924,10.50311203
Rab37,0.901749316,16.64937759
Gas2l3,0.900201489,4.486514523
Syndig1,0.900072536,46.05809129
Hs6st2,0.899018463,44.63174274
Dhrs11,0.898904122,8.376556017
Gm26771,0.898851368,6.716804979
Col4a5,0.898359264,7.806016598
Gm13112,0.898055217,12.88900415
Gm13067,0.897790438,1.218879668
Slc30a3,0.897774176,10.21784232
Bnc2,0.897737987,5.108921162
Adamts17,0.897556814,28.81224066
Sfxn5,0.897363351,53.3973029
Apol8,0.897312493,1.504149378
Tpcn2,0.89628195,12.94087137
Kcnc3,0.895720797,30.34232365
Vwc2,0.894768912,33.53215768
Arhgef6,0.894744063,16.33817427
Sept4,0.894633131,34.72510373
Snrpn,0.894541303,67.81639004
Gm44051,0.894183369,15.17116183
Mreg,0.893540855,5.731327801
Gas6,0.893291946,25.38900415
Gm15690,0.892685093,3.630705394
Stard9,0.892486353,39.78215768
Aifm3,0.891887517,36.02178423
Gm9947,0.890992305,3.137966805
Phldb2,0.890935211,7.806016598
9330179D12Rik,0.890575975,4.564315353
Cmc2,0.890242951,12.00726141
Pvalb,0.889841056,6.664937759
Tbc1d2,0.888699519,12.26659751
Grip1os3,0.888555438,2.359958506
Cds1,0.888307098,16.49377593
9530026P05Rik,0.88786983,29.40871369
1700112E06Rik,0.886675537,34.67323651
Egln3,0.885799712,1.737551867
Tekt5,0.885781608,2.022821577
