gene,cellex_score,expr_proportion
Sox6,0.993710014,29.94318182
Lhfp,0.989239312,26.53409091
Rxfp1,0.986448067,6.960227273
9530026P05Rik,0.986398336,40.45454545
Slc39a12,0.983663787,12.75568182
A730049H05Rik,0.982557255,3.267045455
Tfap2b,0.982381189,41.59090909
Cpne8,0.98198227,54.60227273
Necab1,0.981514507,49.31818182
Nrgn,0.978651588,4.517045455
RP24-112I14.3,0.97736367,2.471590909
Ldb2,0.976455853,67.58522727
Ankfn1,0.975056404,40.90909091
Galr1,0.974281287,5.596590909
Tpbg,0.972935494,8.4375
Gas7,0.972078759,21.05113636
Pamr1,0.966166456,4.943181818
6330403A02Rik,0.965116706,8.153409091
Glp2r,0.963940448,26.98863636
Cntn3,0.959351906,68.09659091
Sema3d,0.956120979,15.08522727
Shox2,0.954258689,3.125
Adamts9,0.953162826,5.568181818
Calcrl,0.952491669,6.619318182
Fign,0.952419557,33.66477273
Cntnap5b,0.952076545,92.13068182
Prkcq,0.951174493,5.056818182
Kcnk13,0.950206418,11.96022727
Npsr1,0.950029008,9.460227273
Cpne5,0.949883109,14.31818182
Tmem163,0.946226906,50.36931818
BC024139,0.944975075,3.125
Galnt18,0.942778012,37.32954545
Gm44188,0.94272754,5.340909091
Arhgap6,0.93683469,30.36931818
Prrxl1,0.936456574,4.971590909
Rasal1,0.934348311,3.977272727
Gm43507,0.930592814,1.789772727
Camkv,0.928757622,18.75
4933427G17Rik,0.926375589,4.460227273
AI467606,0.926195236,1.022727273
Gm11844,0.924885804,2.215909091
Ntsr1,0.924592517,3.380681818
Arsj,0.923875982,2.159090909
Calb1,0.922246258,15.71022727
Slc24a4,0.922086843,2.897727273
Hmcn1,0.921383566,7.215909091
Sntb1,0.921378456,21.36363636
Lrrc43,0.920517154,3.636363636
Zfp521,0.915061503,25.34090909
1700028P14Rik,0.910837015,2.8125
Fam179a,0.910251434,4.971590909
Enpp2,0.910206364,20.34090909
D630024D03Rik,0.909848053,3.948863636
Fras1,0.904633147,17.61363636
Arpp21,0.902763031,59.71590909
Msln,0.901558194,0.454545455
Fam83f,0.89967599,1.022727273
D5Ertd615e,0.89772879,5.625
Fgf10,0.896908629,9.886363636
Tmem219,0.89684364,15
Elfn1,0.896218701,6.846590909
Samd5,0.894465803,15.14204545
Atrnl1,0.892587378,68.86363636
Nox4,0.892449129,3.551136364
Gm26883,0.891867616,40.85227273
Dclk3,0.891807198,5.3125
Cxcl14,0.888579641,2.329545455
Sst,0.887924623,22.01704545
Ackr3,0.882700929,1.136363636
Fam124a,0.881382159,9.261363636
Grik1,0.879472871,27.8125
Rgs14,0.877211925,0.738636364
Uaca,0.874443655,2.755681818
Fgd5,0.873854486,12.41477273
Cck,0.872166634,6.534090909
BC030499,0.869687903,6.136363636
Abi3bp,0.864332039,5.028409091
Epha5,0.863634657,63.89204545
Krt77,0.86341649,0.482954545
9330185C12Rik,0.862856414,7.613636364
Gm9930,0.862768258,1.931818182
Tshz3,0.859407762,39.57386364
Wif1,0.858080011,2.585227273
Galnt6,0.854576569,4.261363636
Kcnv1,0.854433817,0.994318182
Dcdc2a,0.854035009,3.835227273
Cacna1h,0.849412899,5.3125
Pou3f2,0.849291208,4.034090909
Dsg2,0.847620968,3.693181818
Gabrg1,0.847410745,16.07954545
Tshz2,0.847240717,78.92045455
Plk5,0.846580254,3.579545455
4732419C18Rik,0.844498364,0.880681818
Kl,0.843013709,1.732954545
Prdx2,0.84240117,20.42613636
Chst8,0.841593929,15.9375
Cbln4,0.838092257,2.1875
Gm12930,0.834409329,2.130681818
Iqcf3,0.833134864,1.136363636
4930590L20Rik,0.831221004,22.44318182
Plekhh2,0.830826534,7.954545455
