gene,cellex_score,expr_proportion
Gm14696,0.994936328,7.768529528
C030005K15Rik,0.993331712,5.509314308
RP23-474J16.2,0.993235227,24.09829568
Aox1,0.992607417,38.44629409
Gna14,0.992605068,27.42766548
Gm14697,0.991928803,29.52833928
Sapcd1,0.990592652,18.11335711
Lhx4,0.990476731,15.18034086
Grin3b,0.989620162,32.46135553
Tns1,0.989188492,55.92548553
Hgf,0.989070539,10.89972255
Isl1,0.988921258,23.38485929
Gm7694,0.987483225,13.23820848
Pik3r5,0.987210308,9.116131589
Gata6,0.986349042,4.240982957
6030407O03Rik,0.986162858,24.93063813
Gm43614,0.985612016,4.042806183
Lcp1,0.98549967,58.62068966
Vwa7,0.985136011,17.12247325
Grid2ip,0.984961497,22.31470472
Vdr,0.984229685,8.95759017
Plekhd1,0.983979097,34.56202933
Layn,0.983768886,11.96987713
RP23-449M8.5,0.98367904,3.923900119
Mrvi1,0.98350438,8.759413397
Anxa2,0.982978685,38.56520016
Kitl,0.98258837,50.37653587
Glis3,0.98032125,37.89139913
Creb5,0.979706059,59.33412604
Casp12,0.979620448,5.152596116
Pdgfd,0.979460708,39.79389616
Gm30524,0.979054465,19.93658343
Anxa4,0.979027554,38.36702338
P2rx6,0.978296452,23.34522394
Atp6ap1l,0.978006843,7.292905272
Hsd17b2,0.977202095,17.9548157
BC055402,0.97663562,2.457391994
Prss12,0.975950877,29.17162109
Vipr2,0.975097803,14.86325803
Ccdc88c,0.974864911,23.93975426
Isl2,0.974101846,3.091557669
Rspo2,0.97324983,46.09591756
Itpr3,0.973231536,17.51882679
Gm16685,0.972674292,11.05826397
Gm42982,0.972368118,39.15973048
Arhgap36,0.971975818,25.32699168
RP23-449M8.6,0.971823075,3.131193024
Arhgef19,0.971596934,11.17717004
Tcea3,0.971342851,6.381292113
Smcp,0.969964828,1.030519223
Adamtsl5,0.969952095,36.18707887
Gm14025,0.969841806,5.707491082
Calcb,0.96913401,30.95521205
Lacc1,0.968877744,7.649623464
Col5a2,0.967768351,18.03408641
Gem,0.967418609,19.14387634
Trim58,0.96664527,2.338485929
Srpx2,0.966491561,5.588585018
Pip5kl1,0.966073894,35.71145462
Tesc,0.965042533,36.424891
RP24-177G14.2,0.964535548,10.58263971
Ahnak2,0.96441558,34.95838288
Gm38399,0.963853553,34.87911217
Gm11670,0.963602929,2.298850575
Medag,0.962985701,12.40586603
Cgnl1,0.962908648,29.48870392
Gm38025,0.962786744,2.338485929
Bag3,0.962538045,21.79944511
Lypd6,0.962502011,36.38525565
Gm13067,0.961846138,3.250099088
Htr2a,0.961449919,36.06817281
Ap1m2,0.960783293,3.091557669
Tnfsf8,0.960625029,4.795877923
Gm15675,0.959772937,6.539833532
Htra1,0.959471713,35.59254855
Gm12022,0.959219533,2.93301625
Ifnlr1,0.959021136,7.768529528
9930111H07Rik,0.958791043,4.003170828
Gm14406,0.957866791,6.064209275
Papl,0.957847964,4.676971859
Wnk4,0.95741479,8.600871978
Ccdc122,0.957292567,15.29924693
Gm14133,0.956674795,5.112960761
Zfp101,0.956504325,43.99524376
Mctp2,0.95641318,17.39992073
Tex22,0.956184003,15.21997622
