gene,cellex_score,expr_proportion
Neu4,0.980485478,23.44632768
Vcan,0.980102146,53.44632768
Car8,0.978994739,10.73446328
3110035E14Rik,0.975801695,21.75141243
Sapcd2,0.973937513,4.406779661
5730559C18Rik,0.973335598,8.248587571
Myt1,0.9703352,20.11299435
Gpr17,0.970057697,10.39548023
Gm38505,0.969796008,26.04519774
Susd5,0.969765197,8.813559322
Megf11,0.969154094,47.68361582
Kcnh8,0.969142182,29.88700565
Emid1,0.962746662,21.8079096
Prkg2,0.962364602,11.01694915
Tnr,0.961403329,88.75706215
Gucy2f,0.959111601,4.745762712
Slc35f1,0.958518777,75.53672316
Sema5b,0.957710749,20.62146893
C1ql1,0.957023427,8.813559322
Rbpjl,0.956525335,2.881355932
Cspg4,0.95632829,19.15254237
Gm27247,0.954209662,20.28248588
Snx22,0.953275426,4.350282486
Dscam,0.952435563,84.91525424
4930509J09Rik,0.952324418,11.52542373
Adarb2,0.95229389,77.90960452
Shc4,0.951548916,13.55932203
Itga9,0.950159384,41.8079096
Neto1,0.947035491,18.98305085
Tmem255b,0.946958712,3.446327684
Rlbp1,0.945769326,6.497175141
A930009A15Rik,0.945258004,10.2259887
Arpp21,0.944683373,42.71186441
Sema3d,0.942982874,35.70621469
Pdgfra,0.942494854,36.04519774
Plpp4,0.940487513,20.73446328
Matn4,0.940105889,26.94915254
B3gat2,0.939800769,12.42937853
Xylt1,0.939539161,73.50282486
Gm42825,0.93890488,1.807909605
S100a3,0.937813056,3.898305085
Nxph1,0.937104977,75.64971751
Galnt3,0.93641845,6.666666667
Mybpc1,0.935408607,6.214689266
B9d1os,0.931447697,1.412429379
4922502N22Rik,0.931131646,0.677966102
Chst5,0.928429746,3.276836158
2600014E21Rik,0.927650065,4.293785311
Kcnh5,0.927152934,14.68926554
Has2,0.927067198,1.242937853
Cacng4,0.926964372,38.92655367
Amz1,0.926148602,10.79096045
Matn1,0.925975412,0.847457627
Vwc2,0.925270434,13.38983051
Gm20754,0.920711714,34.18079096
Gm42948,0.918008485,2.146892655
Cwh43,0.915813447,2.033898305
Zcchc16,0.915516882,33.95480226
Ppfibp1,0.915131254,37.85310734
Pcdh15,0.914438719,92.31638418
Fam19a2,0.913656872,41.41242938
3632451O06Rik,0.913457563,22.20338983
Ascl1,0.912305317,1.073446328
Mgat5b,0.91229672,12.93785311
Mmp16,0.912286656,66.83615819
Gm42674,0.91218985,0.451977401
5033426O07Rik,0.912043268,1.299435028
Scrg1,0.911642576,16.66666667
Gm19619,0.911419583,0.621468927
Olfm2,0.91107252,10.9039548
Igsf21,0.910678783,12.42937853
Opcml,0.910576981,92.54237288
Lhfpl3,0.90999232,94.97175141
Lmcd1,0.909756682,4.124293785
Brinp1,0.909687543,38.81355932
Mroh3,0.909611742,3.615819209
Rep15,0.907626119,1.807909605
Scel,0.907533858,8.079096045
Cntn6,0.907346154,41.75141243
Elfn1,0.906652101,4.350282486
Gfpt2,0.904142281,3.84180791
Csmd2,0.903237594,41.75141243
Gm2824,0.901958996,6.271186441
Acan,0.90001685,1.638418079
Frmd7,0.899998238,1.129943503
Sntg1,0.899942099,72.42937853
Plppr5,0.898814924,11.52542373
Sgcd,0.897005527,75.93220339
Gm28307,0.896066694,0.847457627
Stk32a,0.896009561,30.39548023
Tmem163,0.893592622,21.86440678
Me3,0.893419353,22.54237288
Fam196b,0.892930964,7.570621469
Gm13052,0.892253979,14.23728814
4930555F03Rik,0.889308388,9.774011299
Khdrbs2,0.887526979,40.39548023
Traf4,0.887460378,4.632768362
Cdh13,0.886927759,37.28813559
Cspg5,0.886876277,37.79661017
Plppr1,0.886290414,17.85310734
Tnc,0.885811986,2.485875706
Angptl1,0.88528698,2.146892655
Gm15398,0.885019023,13.50282486
AI854517,0.88383749,37.79661017
Glis1,0.883249497,9.88700565
C1ql2,0.88310204,1.299435028
Fam19a1,0.882716189,47.11864407
Lnx1,0.882175501,14.29378531
Grm5,0.881479876,70.73446328
Grin3a,0.881240525,43.44632768
Lrrc7,0.880681527,44.91525424
2900079G21Rik,0.879727182,2.146892655
Sapcd1,0.87948036,1.581920904
Tmem196,0.877940127,12.31638418
Gm15810,0.876053399,3.389830508
Gm42817,0.876000276,0.395480226
Depdc1a,0.875885403,0.225988701
Odf3l2,0.875034062,0.225988701
Fam184b,0.87456197,3.559322034
Sez6l,0.87453061,20.56497175
Fam212b,0.874390972,5.762711864
A230077H06Rik,0.87395647,2.316384181
Il17d,0.873261845,3.728813559
Adam18,0.872287422,2.711864407
Meox1,0.872080897,0.847457627
RP23-449M8.5,0.869950005,0.225988701
Syt16,0.868688676,15.36723164
Thsd7b,0.867736525,19.15254237
Ano3,0.866519122,15.42372881
Adam34,0.865961923,1.016949153
Rmi2,0.86491209,1.525423729
Elfn2,0.863721021,2.994350282
