gene,cellex_score,expr_proportion
RP23-340E19.2,0.98231018,5.034722222
Lum,0.975538214,11.63194444
Slc6a12,0.974870011,5.208333333
Prg4,0.970774026,2.951388889
Slc22a6,0.968898891,2.430555556
Six1,0.968549115,2.083333333
Moxd1,0.968326835,10.9375
Gm5860,0.965379104,2.951388889
Inmt,0.96400799,2.951388889
Adh1,0.962576838,2.256944444
Gata6,0.96075499,2.430555556
Tbx18,0.958102756,5.902777778
Osr1,0.952432011,2.083333333
Zmynd15,0.95102351,3.125
Meox2,0.94989659,3.645833333
Klf5,0.949103773,13.36805556
Mfap5,0.948805497,5.555555556
Gm15866,0.948708221,0.868055556
Tspan8,0.945476259,2.430555556
Hrg,0.943927668,0.868055556
Alx4,0.942779755,1.215277778
Sult5a1,0.940940927,4.6875
Slc26a7,0.939587784,4.340277778
Col3a1,0.939231302,11.80555556
RP23-474J16.2,0.938935945,32.11805556
Arsi,0.93800278,1.388888889
Itih2,0.936921466,5.902777778
Cyp2f2,0.936258655,0.694444444
Slc47a1,0.933500294,16.49305556
Bmp5,0.931621808,16.49305556
Gm2564,0.931099544,0.347222222
Gypc,0.930649295,4.340277778
Gm15684,0.930480949,0.347222222
Cxcl16,0.930067627,7.291666667
RP23-340E19.1,0.928430373,0.347222222
Krtdap,0.925019586,0.347222222
2810433D01Rik,0.922898541,1.5625
Gm12830,0.920895414,0.520833333
Gxylt2,0.920052319,11.28472222
Prdm6,0.919620384,8.333333333
Fgfbp1,0.918957042,1.215277778
Ms4a8a,0.9173113,0.868055556
Gm11636,0.916999503,0.694444444
Cdh1,0.91691583,4.166666667
Elf3,0.916304505,0.347222222
Slc43a1,0.915323403,2.951388889
Trabd2b,0.913915383,7.986111111
Col13a1,0.9127124,7.118055556
Fmod,0.911570437,5.555555556
Gm6260,0.911034301,3.819444444
Foxd2,0.911004135,0.694444444
Ptgs2,0.90851084,0.868055556
Tnxb,0.904125366,11.80555556
Cpz,0.902892338,0.520833333
Gm26719,0.902703811,22.56944444
Aox3,0.901647857,19.44444444
9130410C08Rik,0.90089591,2.083333333
Gm26535,0.89892664,0.694444444
Klk11,0.895536751,0.347222222
Slc6a13,0.895501959,32.11805556
Cemip,0.895142694,38.71527778
Zfp735,0.891642856,0.173611111
Ces3b,0.891588026,0.173611111
Gm10837,0.890140857,2.430555556
Gm37184,0.88910488,1.215277778
Eya2,0.888715971,34.02777778
Slc6a20a,0.888577343,30.38194444
Gm28386,0.88800616,0.173611111
Fhl2,0.887309573,9.201388889
Gm15735,0.886464734,3.819444444
Tcf21,0.886426283,0.173611111
Gm10787,0.886426283,0.173611111
Msmb,0.886390517,0.173611111
Gm12827,0.88627806,0.347222222
Gm13389,0.885456541,0.347222222
Ccl19,0.884056264,0.347222222
Gm44269,0.884002818,0.173611111
Wnt6,0.882484845,4.166666667
1700109G15Rik,0.880900232,0.173611111
Ranbp3l,0.880780071,24.13194444
1010001N08Rik,0.880416478,0.173611111
Mpzl2,0.878637183,4.861111111
Ogn,0.877613299,3.993055556
Tnni2,0.877100135,0.347222222
Dcn,0.876143794,52.77777778
Igf1,0.875808396,11.11111111
Gm15984,0.87381409,0.347222222
Col6a1,0.873440068,6.597222222
Itgbl1,0.873251112,26.5625
Snai1,0.872639289,1.388888889
Col1a1,0.871628924,10.59027778
Gbgt1,0.870589709,0.694444444
Cldn1,0.870530479,1.041666667
Ntn5,0.869956729,0.173611111
Gm12153,0.869746685,3.645833333
Tmem30b,0.868861108,0.173611111
4930439A04Rik,0.868758059,0.173611111
Mucl2,0.868648171,0.520833333
Gm30613,0.868198128,3.819444444
Serpinb6c,0.865511224,1.041666667
Igf2os,0.86483131,0.347222222
RP24-362L9.2,0.864491735,26.04166667
Igf2,0.864267476,4.6875
Card14,0.863493469,0.868055556
Igfbp6,0.862214661,10.76388889
Gm9894,0.860919957,0.173611111
Col6a2,0.860479949,4.513888889
Msln,0.859275569,0.694444444
Lrrn4cl,0.858086018,0.520833333
Tlx2,0.857584317,0.173611111
Pdzk1ip1,0.857213099,0.868055556
Gm10295,0.856943028,0.347222222
Pi16,0.856278526,7.8125
Cped1,0.855220809,72.91666667
Podn,0.854253103,2.604166667
Slc13a4,0.85326784,14.93055556
Gm21865,0.852656519,0.173611111
Col8a1,0.852298641,21.70138889
G530012D18Rik,0.850810016,0.173611111
Lama1,0.850501016,34.02777778
Kcnk5,0.850455564,3.298611111
Scara3,0.850048819,4.6875
Tspan11,0.848957443,3.472222222
Gm3455,0.848847955,1.215277778
Gm12256,0.848821672,0.173611111
Islr,0.848746635,5.208333333
Srpx2,0.848601559,1.736111111
Trpv5,0.848127043,0.173611111
Gm9947,0.847390862,1.215277778
Rbp4,0.845594979,10.76388889
C1qtnf7,0.845518766,13.19444444
Lypd2,0.843998933,0.694444444
Mrap,0.843134382,2.083333333
Nupr1,0.840654979,16.31944444
Col15a1,0.839823884,14.0625
Gm5784,0.839766333,0.173611111
H19,0.83951557,0.347222222
Sele,0.83901201,0.173611111
Slc47a2,0.838823921,5.034722222
Mfap4,0.836554972,1.5625
Mrgprf,0.835775154,0.347222222
Gm42889,0.835661049,0.520833333
Ebf2,0.835535658,7.118055556
Gm13391,0.835069269,0.173611111
Gna14,0.833058455,3.819444444
Wdr86,0.832751229,1.5625
RP23-121N17.5,0.8321791,0.173611111
Ucp1,0.8321791,0.173611111
Bmp6,0.83073419,40.45138889
Serping1,0.830018219,21.875
1700001L05Rik,0.829501312,0.520833333
Npr3,0.828983541,2.256944444
Scarf2,0.828033808,2.777777778
