gene,cellex_score,expr_proportion
Gm12239,0.988226674,55.36681176
Rorb,0.980317647,48.09427752
Itih3,0.974440879,42.54167109
Slc7a10,0.974298051,39.38847011
Acsbg1,0.973752589,30.74636373
Atp13a4,0.969229857,24.86463531
Slc1a2,0.968923359,73.64900733
Slc6a11,0.968086944,60.93003504
Trim9,0.963797361,46.41681707
Ntsr2,0.962753034,32.8166472
Gm3764,0.961943979,85.07272534
Phkg1,0.959308897,52.03312454
Npas2,0.958918556,24.76908377
Adrbk2,0.952764533,31.39399087
Nmur2,0.952303993,13.63202038
Fgfr3,0.950639526,26.72258202
B230323A14Rik,0.947181255,19.48189829
Lgi1,0.946964434,42.41426903
Mapk4,0.942341646,32.96528294
Lrig1,0.941233548,20.69221786
Bmpr1b,0.939855999,35.54517465
Trp63,0.93979666,12.43231766
Lgr6,0.935690832,10.1709311
Cldn10,0.935560551,19.47128145
Dbx2,0.934793258,16.2968468
Agt,0.934622431,28.1877057
Paqr6,0.932028092,16.91262342
Slc4a4,0.931586213,85.46554836
Nhsl1,0.930626789,43.07251301
Ptch1,0.929689178,48.76313834
Acot11,0.928415044,20.90455462
Arhgef26,0.926191379,30.16243763
Camk2g,0.925655264,44.78182397
F3,0.924488975,35.04618325
Rgs6,0.923452093,54.8784372
Gja1,0.920722057,36.40513855
Aqp4,0.918974001,24.9177195
Nim1k,0.918393865,21.22305977
Sorcs2,0.917127118,14.0248434
Atp1b2,0.916010429,37.29695297
Gjb6,0.91531724,16.73213717
Cdh22,0.915041285,11.56173691
Mical2,0.912132365,20.5648158
Ndst3,0.91205008,25.08758892
Cd38,0.91057125,9.268499841
Gpc5,0.909020559,83.22539548
Lhfp,0.90885292,34.75952861
Dao,0.907953775,10.26648264
Gli2,0.904290166,11.85900839
Adcy8,0.904139761,28.14523835
Psd2,0.901589541,15.46873341
Fut9,0.901024897,39.86622784
Grin2c,0.900743574,6.39133666
Gpld1,0.900296109,23.85603567
Cables1,0.900185405,19.17400998
Gm11713,0.900005266,11.65728846
Gabrg1,0.899344574,13.49400149
Ndrg2,0.899012053,56.07813993
Wdr17,0.898891447,35.76812825
Paqr8,0.898655887,33.26255441
Sdc4,0.898607963,16.49856673
Hif3a,0.898570201,7.952011891
Etnppl,0.897838269,18.03800828
Car10,0.89615113,65.49527551
Acsl3,0.895906137,30.6826627
Eva1a,0.895341643,9.374668224
Nwd1,0.892530259,17.94245674
A330087D11Rik,0.891498552,4.94744665
Lgi4,0.891452151,6.508121881
Kcnn2,0.890844286,27.8267332
Egfr,0.89067009,13.24981421
Ddhd1,0.88900894,32.40259051
Gpam,0.888023377,9.799341756
Plpp3,0.888019518,51.40673108
Atl2,0.887568889,18.26096189
9430041J12Rik,0.886259055,16.72152033
Csgalnact1,0.882805245,35.75751141
Lfng,0.881747656,12.69773861
Gabra4,0.880189405,10.3938847
Aldh1l1,0.879544448,9.979828007
Cxcl14,0.878313192,8.376685423
Mmd2,0.877626796,25.00265421
Acvr1c,0.877474049,5.276568638
Gabra2,0.875631764,29.50419365
Trpm3,0.87483645,93.959019
Vcl,0.874668324,26.60579679
Gm26704,0.870823222,8.005096082
A2m,0.870782543,9.597621828
Hacd2,0.870464195,24.32317656
Htra1,0.870193704,19.98088969
Atp1a2,0.866665487,71.40885444
Pygm,0.865634656,6.582439749
Ucp3,0.865631886,3.928230173
Ttyh1,0.86557828,33.61291008
D030047H15Rik,0.864847399,14.68308738
Mgat4c,0.861897747,77.94882684
Tnik,0.860846296,58.94468627
Glud1,0.860586362,33.71907846
Pitpnc1,0.860120515,74.5302049
Cyp2j9,0.858133762,9.555154475
Prex2,0.857621536,44.87737552
Tiam2,0.857322908,19.49251513
Sh3pxd2b,0.856836675,14.96974201
Acsl6,0.856691745,18.33527975
Gabrb1,0.855176063,89.91400361
Abr,0.853971719,42.75400786
Bcan,0.853584004,32.68924514
Tlcd1,0.852341508,9.08801359
Hes5,0.851926551,7.782142478
Slc39a12,0.851877268,38.19938422
Phyhipl,0.850283224,33.93141522
Btbd17,0.84907489,5.82864423
Gpr37l1,0.845433867,28.93088438
Tril,0.845050729,10.81855823
Ednrb,0.843373961,15.03344304
Tmc7,0.842769497,19.94903918
Celrr,0.841409749,9.279116679
Cep85l,0.84064099,26.53147893
Phka1,0.840629617,38.61344092
Gm21798,0.840101725,5.403970698
Farp1,0.836345824,52.73383586
Tom1l1,0.83524129,13.33474891
Id2,0.834535173,16.53041724
Folh1,0.832462164,19.6517677
Actr3b,0.831437574,7.007113282
Acss1,0.831320503,19.86410447
Adamts9,0.830721307,9.491453445
Ahcyl1,0.829605316,24.17454082
Prodh,0.829144802,12.87822486
Sall2,0.827818631,11.65728846
Pax6,0.825936409,7.718441448
Gabbr2,0.825419816,18.22911137
Ccdc190,0.824502507,12.43231766
Prdm16,0.821917011,8.153731819
Vav3,0.821785035,13.8868245
Gm26703,0.821674548,4.087482748
4930448N21Rik,0.821143159,20.41618006
Slc6a1,0.81741399,38.42233783
Sema4a,0.817332072,7.134515341
Ppp1r3c,0.816457591,5.191633931
Abcd2,0.816421968,8.429769615
Fzd1,0.816390848,5.796793715
Sparcl1,0.815185904,71.02664826
Chst10,0.814399598,7.697207772
Ntm,0.813489868,94.18197261
Prkd1,0.812829655,29.64221255
Gm43477,0.81262126,7.08143115
Wnt7a,0.812062093,3.673426054
Robo2,0.811413878,40.18473299
Nrcam,0.810706381,51.15192696
Micalcl,0.810000912,3.19566833
Hrh1,0.809939844,3.843295467
Them4,0.809522431,12.74020597
Fjx1,0.809389724,6.274551439
Nkain4,0.808570388,10.13908058
Palld,0.806520074,13.13302898
Timp4,0.806417693,8.174965495
Slc6a9,0.80640658,15.6598365
Rhoq,0.805855233,26.94553562
Gk,0.805595866,12.17751354
Plce1,0.804994274,43.40163499
Pde9a,0.80481309,7.877694023
Adk,0.802875476,40.25905085
Wasf3,0.802873681,17.98492409
Cbs,0.80257784,9.130480943
Extl1,0.800825648,3.928230173
Sec14l2,0.800690293,5.531372757
Plcd4,0.799221909,12.6658881
Elovl2,0.798419009,2.760377959
Sfxn5,0.795050162,49.48508334
Abca4,0.794933451,5.818027391
D030068K23Rik,0.79355086,13.03747744
Prdx6,0.793148554,21.81760272
Shroom3,0.792953634,57.43709523
Gm10561,0.7906067,5.276568638
Dpf3,0.78983159,13.22858053
Gm266,0.787732639,3.00456524
Kank1,0.787088719,33.29440493
A830019P07Rik,0.785387697,7.442403652
Fam198a,0.785188861,2.717910606
Itpkb,0.784796154,33.30502176
Slc25a18,0.784253496,15.48996709
Abhd3,0.784089502,13.22858053
Plcb1,0.78189722,71.63180805
Gpr153,0.779684384,5.775560038
Cml3,0.778970854,8.8969105
Rgs20,0.778559867,23.73925045
Lcat,0.778083094,5.361503344
Apba2,0.77649922,20.36309587
Boc,0.776273905,11.33878331
Kcnd2,0.776045476,84.52064975
Dtna,0.77563427,61.83246629
Mras,0.774871902,10.96719397
Ttyh3,0.773865064,10.13908058
Cpe,0.773564796,42.91326043
Gli1,0.772483038,3.163817815
Foxb1,0.772245095,2.208302368
Slc27a1,0.771484907,21.32922816
Mt2,0.771363411,23.45259582
Lrrc16a,0.765650024,32.12655271
Hs3st3a1,0.765609916,2.855929504
Hsd11b1,0.765015343,3.418621934
Baalc,0.76383253,3.121350462
Thrsp,0.763702441,5.01114768
Itga7,0.763415161,3.981314365
Fam184a,0.762995906,18.81303748
Rdh5,0.761859869,8.567788513
Rab34,0.761161171,13.58955303
Dgkb,0.760789016,57.50079626
Tbc1d10a,0.759951975,10.18154794
Atp7b,0.759042809,2.824078989
Hr,0.758928731,4.193651131
Aqp9,0.758758648,2.059666631
Ttpa,0.758166505,2.962097887
Luzp2,0.7573364,68.80772906
Fxyd1,0.756940388,8.344834908
Hdac8,0.756663512,54.2414269
Kcnk1,0.75581518,9.863042786
Kcnj10,0.755458631,22.95360442
Vegfa,0.753723456,7.007113282
Eps8,0.753286452,18.33527975
Kcnj16,0.7530084,5.042998195
Igdcc4,0.752861129,8.259900202
Gria1,0.751905491,64.03015182
Arrb1,0.75079213,13.29228156
Amot,0.750372964,8.673956896
Trps1,0.74936094,68.78649538
Fry,0.748922431,65.29355558
Thrb,0.748919733,33.34748912
Bcar3,0.748658195,11.07336235
Pla2g7,0.748311756,41.29950101
Nrxn1,0.747719967,97.26085572
Gm13872,0.747541955,0.81749655
Pdzph1,0.747405541,1.518207878
4930545L23Rik,0.747373195,4.713876208
Aldoc,0.746193272,39.87684468
Adcy2,0.745703818,20.60728315
Gfap,0.74472962,8.907527338
Ntrk2,0.744573405,46.66100435
Mir124-2hg,0.74389193,9.788724918
Gm4035,0.743515368,0.297271473
Gm4491,0.74246573,1.44389001
Gm26512,0.742325625,1.475740524
Csdc2,0.742147882,9.08801359
Ctnnd2,0.741851098,80.90030789
Rimklb,0.741796732,14.91665782
Sema4b,0.74172474,8.419152776
AI464131,0.740105407,2.962097887
Sfrp5,0.738995665,2.420639134
Slitrk2,0.73890247,4.798810914
Exoc3l4,0.738756379,1.953498248
Pld2,0.737957569,7.867077184
Rfx4,0.737330632,31.53200977
Fgd6,0.736718456,7.569805712
Tmem82,0.736611102,0.435290371
Fstl1,0.736337465,16.83830555
Slc15a2,0.736250077,10.19216477
Gcnt4,0.735894382,0.955515447
Lpo,0.735520788,2.410022295
C130071C03Rik,0.734398843,28.03906996
Pfkm,0.733245641,10.6699225
Gm11266,0.7326729,13.98237605
Spry2,0.73244777,10.11784691
Fat3,0.731845988,52.28792865
Dok7,0.731612202,3.577874509
Slc7a2,0.73134807,8.249283363
Aifm3,0.730722321,10.27709948
Slc1a4,0.730425212,8.525321159
Atp2b2,0.729483076,18.84488799
Slc25a34,0.728409003,1.337721626
9630028H03Rik,0.728255472,5.977279966
RP23-207N5.5,0.72670628,0.488374562
Soat1,0.725834605,10.27709948
Mtss1l,0.725254488,17.10372651
Olfr658,0.724851601,0.62639346
Kcnip3,0.723852295,30.16243763
Cth,0.723847445,2.144601338
Rapgef3,0.721129795,17.88937254
Hoxb3os,0.72071017,8.015712921
Sdc2,0.72050941,22.24227625
Sds,0.719863551,0.743178681
Pipox,0.719632199,3.906996496
BC055402,0.719573891,0.509608239
A330093E20Rik,0.718812774,3.19566833
