gene,cellex_score,expr_proportion
Tie1,0.990739058,31.35802469
Sox17,0.98887872,28.51851852
Gata2,0.985044899,16.91358025
Adcy4,0.983507396,13.95061728
AU021092,0.982884548,17.5308642
Tbx1,0.981089441,5.802469136
Sox18,0.981088163,17.90123457
Dll4,0.981081836,9.382716049
Vsig2,0.980252118,5.308641975
8430408G22Rik,0.977890404,11.35802469
Robo4,0.976361639,23.82716049
Gm694,0.975238332,28.27160494
Gm9946,0.973613348,7.160493827
Gimap8,0.972844454,6.913580247
Tmem252,0.971291605,11.11111111
Ccm2l,0.970871474,11.97530864
Degs2,0.970731486,28.27160494
Icam2,0.969454671,31.60493827
Scgb3a1,0.966979575,3.086419753
Foxf2,0.966949969,17.77777778
Sox7,0.966407931,8.641975309
Tecrl,0.962683178,10.98765432
Zfp366,0.962559495,34.07407407
AW112010,0.961659368,26.41975309
Gm609,0.96097226,11.48148148
Fendrr,0.959521562,4.567901235
Slc52a3,0.958404971,7.901234568
Cyp2e1,0.957945705,2.345679012
Lef1,0.955453494,66.79012346
Myct1,0.954119808,5.925925926
Ccrl2,0.953615772,7.901234568
Clic5,0.951981593,28.51851852
4930578C19Rik,0.95060532,28.7654321
S1pr4,0.948953588,4.814814815
Cd93,0.948812479,28.64197531
Gkn3,0.948416773,5.061728395
Ndufa4l2,0.948069868,29.13580247
Rasip1,0.947935847,27.5308642
Ushbp1,0.947920818,37.28395062
Pcdh12,0.943650834,2.469135802
Cysltr2,0.942451716,3.086419753
C130074G19Rik,0.942250727,24.9382716
Aspn,0.941735457,8.888888889
She,0.941333285,15.18518519
Kcnj8,0.939529635,17.5308642
Slc26a10,0.939136187,7.777777778
Ptprb,0.938794436,60.12345679
Pmaip1,0.93824754,4.197530864
Tcf15,0.936133748,5.555555556
Esam,0.936037633,51.11111111
Kdr,0.934923232,36.91358025
Slc38a5,0.934897778,26.91358025
Slc22a8,0.934725687,45.18518519
Grap,0.934198589,24.32098765
Wfdc1,0.934145497,32.34567901
Apol10b,0.933762957,1.851851852
Rem1,0.933719185,6.296296296
Ace2,0.933617871,8.888888889
Sema3g,0.933608196,7.283950617
Paqr5,0.933515882,45.80246914
Igsf5,0.931885844,11.60493827
Foxq1,0.931333275,27.65432099
Tinagl1,0.931318138,27.77777778
Slfn3,0.931283676,4.074074074
Nostrin,0.930757275,56.2962963
5430416O09Rik,0.930496998,5.802469136
Higd1b,0.929564167,24.44444444
Sigirr,0.928967605,10.61728395
Grb7,0.928757706,3.580246914
Cdh5,0.928457928,37.03703704
Adgrl4,0.928442125,78.88888889
Tcf23,0.928419664,2.098765432
Notum,0.92715778,10.86419753
Slco1a4,0.92714812,91.72839506
Gimap6,0.926959914,29.01234568
Slc19a3,0.926935099,18.14814815
A530084C06Rik,0.926285649,1.975308642
Klf2,0.925745617,42.71604938
Ly6a,0.925740842,73.08641975
Car4,0.925712358,68.14814815
Erg,0.924953221,44.07407407
Klf4,0.924581644,19.50617284
Tgtp2,0.923438391,1.604938272
Hrct1,0.92334461,10.24691358
Flt1,0.9230391,94.07407407
9430020K01Rik,0.922362308,61.35802469
Gja4,0.922295731,8.888888889
Lsr,0.922238275,38.02469136
Gbp3,0.922136607,10.61728395
Tnfsf10,0.921981038,14.19753086
Gimap5,0.921306839,3.333333333
Cyyr1,0.920268353,68.51851852
Ly6c1,0.919707456,82.22222222
Flt4,0.919472491,9.75308642
Akr1c14,0.919405897,2.839506173
Cxcl12,0.918902127,64.9382716
Des,0.918647051,5.679012346
Cldn5,0.918257404,88.02469136
Slc40a1,0.91817035,35.92592593
Isg15,0.917664378,22.22222222
1700018A04Rik,0.917497282,4.567901235
Rgs5,0.917430968,76.66666667
Gm13536,0.916740696,0.864197531
Egfl7,0.916474881,0.864197531
Emcn,0.913970446,56.17283951
Gm15998,0.913907836,3.827160494
Slfn5,0.913613637,14.81481481
Saa1,0.913598992,2.345679012
Ripply3,0.913421734,1.975308642
Stra6,0.91340739,10.74074074
Adgrf5,0.912704127,52.4691358
Foxs1,0.912442309,3.703703704
Kif26a,0.911879379,15.0617284
Gm16143,0.911875222,0.864197531
Clec14a,0.911650976,16.91358025
Notch4,0.911398717,15.43209877
Olfr558,0.910768849,1.728395062
Myl9,0.910506428,31.11111111
Cdkn2b,0.909423029,6.172839506
Pglyrp1,0.909304424,68.88888889
Tbxa2r,0.908953299,9.135802469
Abcb1a,0.908820975,67.77777778
Podxl,0.908091145,49.25925926
Gm16104,0.90805633,0.740740741
Ncaph,0.907796482,1.975308642
Ifi44,0.907479765,5.432098765
Ctla2a,0.907278361,40.61728395
Xdh,0.906321803,33.33333333
Gpr4,0.906166804,12.83950617
Cd34,0.906087972,41.35802469
Acvrl1,0.905974194,38.88888889
Nos3,0.905850512,20.74074074
Ifitm1,0.905581433,16.2962963
Gper1,0.904581202,9.87654321
Iigp1,0.903277934,10.86419753
Notumos,0.901977902,0.740740741
Gimap4,0.901694428,1.851851852
Gm13861,0.900748098,5.308641975
Itm2a,0.90070674,82.96296296
Mall,0.900117278,5.925925926
Edn1,0.899276443,9.382716049
Atp10a,0.898351056,61.2345679
Epha2,0.896823291,5.925925926
Apold1,0.896564731,9.87654321
Gm9917,0.896557677,7.530864198
Pecam1,0.89600053,55.18518519
Grrp1,0.893193904,14.07407407
Krtap28-13,0.892971272,0.740740741
Cox4i2,0.892622629,17.65432099
Hlx,0.892345444,4.444444444
Gjc1,0.892213199,26.91358025
Acer2,0.89211105,30
Unc45b,0.889968064,10.61728395
Ifitm2,0.88891206,41.11111111
Prom1,0.888855983,45.92592593
Slco1c1,0.887953168,77.77777778
Ctla2b,0.88618489,4.938271605
Tmem204,0.885918254,36.54320988
Stap2,0.885269301,8.765432099
Slc39a8,0.885002588,18.51851852
Nodal,0.884148577,3.333333333
Id1,0.883220149,60.61728395
Fam212a,0.882486462,15.55555556
Sema3c,0.879173381,66.41975309
Slc7a5,0.879007394,62.4691358
Thbd,0.878388459,22.59259259
Adgre5,0.87823489,26.17283951
Irf7,0.877531728,9.259259259
Srgn,0.876238038,36.79012346
Ramp2,0.875515758,55.80246914
Bvht,0.874413447,13.33333333
Scarf1,0.874088961,12.4691358
Eng,0.873418913,57.40740741
Pkn3,0.873416893,3.950617284
4930555A03Rik,0.873021035,1.358024691
Apcdd1,0.872175456,18.39506173
Islr2,0.871976374,0.864197531
Slc38a11,0.871798015,17.77777778
Ier2,0.871392077,25.0617284
Cd248,0.87134911,7.901234568
Hic1,0.87132057,6.790123457
Nes,0.871298424,24.81481481
Ggt1,0.870827583,6.296296296
Kank3,0.870689926,57.40740741
BC028528,0.869930348,42.71604938
Ndnf,0.869538563,19.50617284
Crip1,0.869188428,40.74074074
Myl12a,0.868724499,49.01234568
4930425O10Rik,0.867482061,0.864197531
Thsd1,0.867286263,37.40740741
Hspb2,0.867029937,2.345679012
Tmem88,0.866339891,5.925925926
Cracr2b,0.866038184,13.95061728
Ppbp,0.866018563,0.37037037
Car5a,0.865644968,11.35802469
Net1,0.86556063,22.34567901
Serpinb6b,0.865460051,5.308641975
Saa2,0.865417385,1.975308642
Vwf,0.863623324,10.86419753
Hmcn1,0.862546924,66.2962963
Ptrf,0.862272158,34.19753086
Smco4,0.860920319,20.12345679
Sema7a,0.860752123,32.83950617
Slc7a1,0.860747416,51.2345679
Hspa12b,0.859975863,36.66666667
Prss23,0.859909456,14.81481481
Igfbp7,0.859422379,62.09876543
A630077J23Rik,0.85926418,1.111111111
E030037K01Rik,0.859018188,0.37037037
Rrad,0.858638479,5.802469136
Rad54b,0.858552977,10.49382716
Bcl6b,0.858273934,4.320987654
Dok4,0.858087074,7.283950617
Aplnr,0.858067737,1.358024691
Rsad2,0.856949424,7.037037037
St6galnac2,0.856102984,16.91358025
Slc9a3r2,0.85478309,48.02469136
Lnx2,0.853722953,20.24691358
Mylpf,0.853602999,3.950617284
Gm13056,0.853483869,2.098765432
Tgm2,0.85290383,21.48148148
Fxyd5,0.852716079,35.30864198
Ly6i,0.851104883,0.37037037
Gm20655,0.850710967,3.580246914
N4bp3,0.85036842,7.530864198
Ifitm3,0.850196764,59.62962963
Fzd6,0.849479682,26.54320988
Pdgfb,0.849035567,32.09876543
Mannr,0.848488103,3.703703704
Slc30a1,0.848159669,34.07407407
Mecom,0.847858543,70.37037037
Sgpp2,0.845906235,26.54320988
Tbx3,0.845338853,16.91358025
Ifit1,0.84484517,13.58024691
Rras,0.844366615,11.72839506
1700097N02Rik,0.844223695,0.37037037
Abcc9,0.843648576,24.19753086
Fcgrt,0.842856077,49.13580247
Arl4d,0.842254269,8.641975309
Clec2d,0.841853159,27.03703704
Itga1,0.841267679,35.0617284
Ecscr,0.841143293,9.382716049
Vil1,0.840805235,1.728395062
Rhbdf2,0.840432677,7.901234568
Itpripl2,0.840157407,12.4691358
Lmo2,0.839883489,31.97530864
Dmgdh,0.839337795,2.345679012
Prkch,0.839328588,40.12345679
Bcam,0.83932487,31.72839506
Gm28410,0.838525811,0.987654321
AI467606,0.836692573,8.271604938
Dnah2os,0.836063538,1.358024691
Gm20532,0.834803949,4.320987654
Rab11fip1,0.834502914,14.81481481
Eva1b,0.834027517,22.22222222
4930598F16Rik,0.833640226,0.24691358
Acta2,0.833622922,3.580246914
Fgd5,0.833415192,34.19753086
Smagp,0.833205141,11.11111111
Slc35f2,0.833167555,12.83950617
Gbp2,0.833131538,8.148148148
Rasd1,0.832357526,5.925925926
Far2,0.828791465,27.77777778
Gm43536,0.827894178,2.098765432
Efna1,0.827097203,9.012345679
Phf11d,0.826980722,1.728395062
Gm10825,0.826676977,0.24691358
Sod3,0.82646589,12.71604938
Ism1,0.826339065,11.60493827
Arhgef15,0.826199137,24.07407407
Ltbp4,0.826028381,47.65432099
Tek,0.825850897,57.03703704
BC107364,0.825822916,0.24691358
Map3k6,0.825532425,6.049382716
Mos,0.824946649,0.24691358
Magix,0.824805761,2.716049383
St8sia4,0.824793398,45.67901235
Fas,0.8247178,19.13580247
Pde4c,0.824440367,3.950617284
Tgfb1i1,0.824316952,10
Gm9956,0.824211105,0.740740741
Cpb2,0.823761602,0.24691358
Epas1,0.82348176,66.2962963
Ephb4,0.823381019,12.4691358
Map3k8,0.822410472,8.765432099
Slc2a1,0.822297458,73.82716049
Slc16a4,0.821793535,20.61728395
Osmr,0.821461272,20.49382716
Cbfa2t3,0.821214839,17.77777778
Palmd,0.821055695,46.2962963
AI661453,0.821008437,0.740740741
Grasp,0.82055193,10
Cd300lg,0.820264435,4.074074074
Ocln,0.820005038,42.22222222
Rundc3b,0.819362677,77.77777778
Rhoc,0.819020205,30
Cdkn2c,0.818615121,2.345679012
Abcg2,0.818302396,69.38271605
Mfsd7c,0.817526959,18.88888889
Sdpr,0.816645893,27.65432099
Gch1,0.81617107,14.19753086
Olfm5,0.815982819,0.740740741
Cav1,0.815796067,30.74074074
Bmp15,0.815781927,0.24691358
RP24-78M9.6,0.815770831,0.864197531
Cav2,0.815759632,29.50617284
Slfn2,0.815202878,6.666666667
Usp18,0.815131035,11.60493827
Aqp11,0.814437022,19.38271605
Nfkbia,0.813964894,46.04938272
Acp5,0.813836544,1.111111111
Ets1,0.811794033,53.20987654
Plpp6,0.811673957,11.35802469
Cmtm8,0.811495364,22.22222222
Eogt,0.810552093,33.08641975
Gm13571,0.810434027,0.864197531
Sebox,0.810039033,2.222222222
Gng11,0.809651577,51.35802469
Plxnd1,0.808901884,9.012345679
Ly6e,0.808322629,71.48148148
Arhgap27os1,0.808074765,0.987654321
Pik3r6,0.807605549,12.59259259
B3gnt3,0.807378955,0.617283951
Dennd3,0.806318999,24.9382716
S100a13,0.806016453,34.07407407
Hgfac,0.805436758,0.24691358
Trim16,0.805266462,9.259259259
Rtp4,0.803200786,18.14814815
Arl4a,0.802805708,42.09876543
Slc39a10,0.802509068,60.74074074
Crip2,0.802347107,64.69135802
Il10rb,0.801956412,23.82716049
Fam124b,0.80189275,0.617283951
Foxc1,0.800915508,19.13580247
Proser2,0.800222951,13.82716049
Nkd1,0.799704089,17.03703704
Serpinb9,0.799079935,10.98765432
Rnf125,0.799001944,7.283950617
Tspo,0.798602538,27.65432099
