gene,cellex_score,expr_proportion
Spata18,0.977196723,8.981001727
Dnah10,0.975271661,35.63615429
Tctex1d4,0.973417887,18.42256765
Glipr1l1,0.971382788,6.735751295
Pih1h3b,0.970090004,7.944732297
Dnaaf3,0.969805074,28.32469775
Ppp1r36,0.969000923,23.89176742
RP23-435E16.1,0.968247703,21.24352332
Slc26a3,0.966527406,9.556706966
Uox,0.964720781,8.059873345
Gm44109,0.96022887,4.202648244
Tcp11,0.95961171,11.11111111
Ttc29,0.958997226,36.154289
Ccdc108,0.957125333,38.51468048
Cfap58,0.955127721,4.260218768
Dydc1,0.95511395,5.411629246
Car9,0.952894851,4.490500864
Gm867,0.952232239,39.83880253
Ak9,0.951221574,49.91364421
Cfap73,0.949267426,5.238917674
Iqca,0.948249443,26.54001151
Ankrd66,0.94756841,13.2412205
Cfap221,0.947150343,17.55900979
Mak,0.947079944,16.6378814
Akap14,0.945871792,11.8019574
Lrrc43,0.945055671,34.02417962
4833427G06Rik,0.943712828,23.3736327
Tekt3,0.943443385,3.10880829
Lrp2,0.943415275,10.07484168
Fam81b,0.941896393,15.02590674
Gm29538,0.941511812,7.944732297
1700012P22Rik,0.941259184,13.41393207
Dthd1,0.940268495,42.71732873
Dytn,0.939582152,6.966033391
Cfap52,0.938699882,33.33333333
Sntn,0.938167313,8.232584917
6430531B16Rik,0.937977296,6.160046056
Dnah12,0.937878888,76.79907887
Lhb,0.937666871,8.002302821
Zfp474,0.93761609,21.35866436
Ccdc180,0.937043288,29.53367876
1700034E13Rik,0.936872037,2.936096718
Gm10714,0.936588765,53.4830167
Cdhr3,0.936467958,35.23316062
Asb14,0.934287861,12.89579735
FRMPD2,0.933374086,31.20322395
Gm15587,0.933039624,7.714450201
Mapk15,0.932736697,26.19458837
Fam216b,0.932146677,31.318365
Lrrc6,0.929750114,24.75532527
Ttc21a,0.928470019,31.72135866
Klkb1,0.927918494,3.10880829
Defb20,0.927884575,1.03626943
Wdr63,0.927073124,35.11801957
Mlf1,0.926555927,15.77432355
1700028P14Rik,0.925804966,36.44214162
Mdh1b,0.925772763,5.987334485
Tctex1d1,0.924086603,10.5929764
Vmn2r39,0.923411444,0.978698906
Rgs22,0.92311737,50.94991364
Fam166b,0.922953974,14.39263097
C1qtnf3,0.922382899,3.569372481
Dnajb13,0.921648118,5.411629246
Dlx4os,0.92130369,0.978698906
Cfap161,0.92082904,11.16868164
Ptpn20,0.920582294,3.281519862
Zbbx,0.920523282,39.20552677
Ak7,0.92008411,54.80713874
Hydin,0.919405043,51.35290731
B3gnt4,0.918776218,4.605641911
Clec1b,0.918753243,1.899827288
Wdr49,0.918564987,69.77547496
Spag17,0.917847819,52.50431779
Cfap70,0.917588576,28.4398388
Odf3b,0.917277255,40.87507196
Nr1i2,0.91697938,2.014968336
Gm44145,0.91679695,1.611974669
Olfr315,0.916724734,0.805987334
Nup62cl,0.916096666,2.302820956
Gm28888,0.915939635,1.554404145
Erich2,0.915891278,10.65054692
Gm43579,0.91535931,2.820955671
Ccdc170,0.91526396,45.94127807
Ect2l,0.914800612,21.53137594
1700007G11Rik,0.914557199,89.06160046
Tmem212,0.914450053,51.75590098
Gm38037,0.914345683,4.14507772
Unc5cl,0.913466134,33.44847438
Lrrc34,0.913389956,5.18134715
Efhb,0.913136227,28.78526195
CN725425,0.912475394,2.533103051
Smlr1,0.912369447,1.439263097
Ppp1r32,0.912299949,3.281519862
Gm1110,0.912186249,2.590673575
Ttll10,0.912175623,4.893494531
Tigd4,0.911740924,3.511801957
Gm17225,0.911087036,6.390328152
Lrrc71,0.910685161,24.98560737
Pih1d2,0.910529137,11.62924583
Ube2u,0.910489456,9.786989062
Gm12108,0.909532297,1.093839954
Dnah6,0.909501692,55.72826713
Gm12695,0.908863196,10.88082902
Lrrc74b,0.908434665,11.39896373
Defb30,0.907549516,1.496833621
Cdkl4,0.905842706,26.42487047
Dnah9,0.905824816,56.59182499
Dnah11,0.905574377,55.15256189
Fam47e,0.905369605,12.32009211
Sap30bpos,0.905187013,2.763385147
Daw1,0.904563888,24.00690846
Gm10440,0.903285961,2.705814623
Gm28729,0.902957786,1.381692573
Tsnaxip1,0.902884917,25.7915947
Lrrc36,0.902155284,47.89867588
2410004P03Rik,0.901948354,5.411629246
