gene,cellex_score,expr_proportion
Spi1,0.978535843,18.20276498
Mir142hg,0.971069313,24.42396313
Havcr2,0.962836106,6.221198157
Cryba4,0.959847046,0.921658986
Cd33,0.959360098,6.912442396
Csf2rb,0.958305084,1.612903226
Vav1,0.957969309,8.064516129
Upk1b,0.957955793,4.608294931
P2ry6,0.957950866,14.05529954
Cd48,0.955490469,5.99078341
Abi3,0.954117634,17.74193548
Slamf8,0.944727681,1.382488479
Snx20,0.944714621,4.147465438
Ncf4,0.944097447,1.382488479
Rhoh,0.943777277,15.20737327
Il1a,0.94345312,2.534562212
Tlr7,0.943345504,3.917050691
Neurl3,0.941173292,3.225806452
Cd86,0.93962876,10.82949309
Lilra5,0.939182135,0.921658986
Cd180,0.937747898,19.12442396
Hk3,0.937533677,6.912442396
Gm42601,0.93641616,1.843317972
Hck,0.935844795,16.12903226
Siglech,0.93306481,28.80184332
Bcl2a1c,0.931757562,0.460829493
Pilra,0.930700005,1.152073733
AF251705,0.930550935,6.451612903
C3ar1,0.93047739,4.147465438
Hspb3,0.928043089,1.612903226
Gpsm3,0.926861286,0.460829493
Lrrc25,0.926284577,1.382488479
Nlrp1b,0.925139814,10.36866359
Fgd2,0.924621968,26.26728111
Lcp2,0.922793705,8.986175115
6030468B19Rik,0.922481794,2.073732719
Myo1g,0.918703002,2.073732719
Gm3264,0.917412156,3.456221198
Hmha1,0.91581795,55.99078341
Nckap1l,0.914810424,16.359447
Tlr1,0.914043364,0.69124424
Ikzf1,0.913124989,34.33179724
Ptpn6,0.912182298,5.069124424
Il21r,0.911907693,5.069124424
Was,0.910081854,1.843317972
Gm13814,0.909181944,0.921658986
Tmem119,0.908705765,12.67281106
Pik3ap1,0.907539776,16.58986175
Gm29291,0.907246857,0.69124424
Il7r,0.907242122,2.764976959
Gm26714,0.907042225,1.612903226
Dennd1c,0.905616246,4.147465438
1810011H11Rik,0.904311479,5.069124424
Bin2,0.903394025,13.59447005
Ly86,0.901294367,52.53456221
Cd84,0.901164092,20.2764977
Il1rl1,0.900677641,0.921658986
Tlr13,0.900351986,2.995391705
Selplg,0.899954554,46.77419355
Gm15232,0.899600529,0.69124424
Gm28286,0.899568644,1.843317972
Sash3,0.897972716,1.612903226
Blnk,0.897874746,18.43317972
Csf3r,0.897367825,20.50691244
Gpr84,0.897305087,0.921658986
Six3,0.895644426,0.230414747
Ccr1,0.895120379,1.382488479
Susd3,0.89345014,8.294930876
Runx1,0.892373385,34.33179724
Gm42747,0.891365814,1.152073733
Clec4a2,0.89098334,2.304147465
Gm38060,0.890558045,0.230414747
Rnase12,0.890558045,0.230414747
Pilrb2,0.88859338,0.460829493
I830077J02Rik,0.888029969,2.995391705
Igsf6,0.887920229,2.073732719
Pld4,0.88785514,10.13824885
Ncf1,0.887472072,6.912442396
Ccr5,0.887335814,17.74193548
Gm16095,0.88731705,0.230414747
Olfr1426,0.88731705,0.230414747
Ptprc,0.887049687,18.20276498
Crybb1,0.886688711,2.995391705
Clec4a3,0.884928523,1.843317972
Cyth4,0.884926794,19.12442396
Gm16578,0.884117439,0.230414747
Pik3cg,0.884085122,3.917050691
Naip5,0.884064979,3.686635945
Csf1r,0.883592601,37.09677419
Gpr183,0.882793238,11.05990783
Glrp1,0.882280676,1.612903226
Inpp5d,0.881406728,58.52534562
Gm5591,0.879469078,0.230414747
Syk,0.878394382,10.13824885
Nlrp3,0.878259821,1.843317972
Slc15a3,0.876983548,2.764976959
Cmklr1,0.874432823,10.36866359
8030474K03Rik,0.874348674,0.230414747
Gm29395,0.874348674,0.230414747
Arl11,0.874304724,0.230414747
Jmjd7,0.873585369,0.230414747
Gm12708,0.873584846,0.69124424
4930471C04Rik,0.873582318,0.230414747
Dock2,0.872987769,31.79723502
Gna15,0.871640369,13.59447005
Fcrls,0.871625305,9.677419355
Arhgap30,0.871512874,9.447004608
Capn3,0.870985964,18.89400922
Gm26778,0.868447959,0.230414747
Naip2,0.867679955,4.377880184
Cd300a,0.867343734,4.608294931
C5ar2,0.86716603,1.382488479
Ms4a4a,0.866207354,0.230414747
Gm28192,0.866199795,0.230414747
Ms4a6b,0.865585208,1.612903226
A630001G21Rik,0.865503223,7.142857143
Fcgr2b,0.864914831,4.838709677
Rasal3,0.863646232,5.069124424
Spns3,0.861869796,1.843317972
F730035P03Rik,0.86070968,0.460829493
Alox5,0.860409413,4.608294931
Ccl4,0.860104161,0.69124424
Fam105a,0.858056194,41.47465438
8030442B05Rik,0.856544435,25.34562212
