gene,cellex_score,expr_proportion
Sec14l5,0.986965429,35.41120198
Prr5l,0.982055369,85.26461966
St18,0.979697387,83.62906959
Mog,0.973743892,52.36846166
A230001M10Rik,0.971488502,29.28560407
Gm28376,0.965512661,26.75513038
Plekhh1,0.964753104,32.94244715
Fa2h,0.964259968,41.1201975
Hapln2,0.963415438,35.27233452
RP23-44H21.1,0.961434567,18.83968523
Slc24a2,0.960478888,93.30350255
Mag,0.960158613,59.82101528
Pls1,0.958117889,22.77426323
Insc,0.957567692,15.10569357
A330015K06Rik,0.955281138,23.86977318
Ugt8a,0.954238189,36.18268786
Nkain1,0.952465407,21.13871316
Gm816,0.946014685,8.980095664
D7Ertd443e,0.945858731,14.7816695
Pik3c2b,0.943804704,20.76839994
Pak7,0.942716249,52.2295942
Adamts4,0.942545828,9.288690017
Gm13905,0.941807485,7.930874865
Aspa,0.941560581,41.69109705
Myrf,0.939641105,14.50393458
Synj2,0.938910526,22.95941984
Map7,0.937803295,55.53155377
Mobp,0.937055987,49.43681531
Jph1,0.935396128,13.11525999
Cyp2j12,0.934669782,8.193180065
Tnni1,0.934655199,9.504706064
Gm16168,0.932908036,36.35241475
Anln,0.932855187,23.12914674
Pstpip2,0.932662454,23.93149205
Cldn14,0.930503752,8.193180065
Gm42495,0.929857916,5.708995525
Ypel2,0.92884382,46.41259065
Enpp6,0.92666325,11.8963123
Tnfaip6,0.926445822,18.16077766
Gm12324,0.926369723,5.647276655
Shtn1,0.925793001,31.87779664
Slain1,0.925776514,19.6883197
Sytl2,0.924447403,20.76839994
Gm10863,0.923487615,11.44885049
Trim59,0.923467512,10.44591884
Onecut2,0.92333835,10.72365376
Gm42413,0.923194515,16.15491437
Ermn,0.920660776,12.9455331
Galnt6,0.920415468,10.90881037
Arhgap23,0.919281942,57.36769017
Gm29455,0.916155192,5.462120043
Klk6,0.915704353,10.89338065
Nipal4,0.915177914,6.403332819
Rab37,0.914895606,6.449621972
Ano4,0.914590033,47.80126524
Ppp1r16b,0.914032511,42.4317235
Klhl2,0.913745959,42.64773955
Ephb1,0.91272656,29.59419843
Plxnb3,0.911881954,15.38342848
Cntn2,0.911712541,17.11155686
Kctd13,0.910107129,26.8631384
Pla2g3,0.910081691,13.53186237
Slc25a13,0.910070433,23.02113871
Frmd5,0.908723443,72.73568894
Edil3,0.908449234,86.22126215
