gene,cellex_score,expr_proportion
3100003L05Rik,0.985211391,45.32803181
Gm15353,0.979402746,7.355864811
Wt1,0.9764365,38.76739563
Wt1os,0.976067849,22.99536117
Lmx1a,0.972568662,23.12789927
Wif1,0.972370176,40.09277667
Rspo1,0.97115357,4.771371769
Rsad1,0.970226823,39.76143141
4631405K08Rik,0.965257176,1.391650099
Gm5089,0.964782023,32.86944997
Gdnf,0.964054724,1.855533466
Gm32592,0.961950486,3.711066932
Slc22a3,0.960742024,10.07289596
Srd5a2,0.958538851,1.457919152
2700069I18Rik,0.952858402,19.7481776
Gm5624,0.952735715,0.662690524
Acsf2,0.951110994,35.78528827
4933406G16Rik,0.950364162,1.590457256
Cdon,0.950338519,29.22465209
Gm29478,0.948098474,58.51557323
Alk,0.945312877,59.17826375
Mgat4d,0.945124729,0.596421471
D630024D03Rik,0.943903637,3.777335984
Gm14064,0.943330684,5.434062293
Abcc12,0.943206912,1.590457256
Aldh1a2,0.941781962,15.83830351
Igfbp5,0.941539756,54.67196819
Wipf3,0.941375994,16.8323393
Shisa8,0.940495959,3.180914513
Gm17173,0.938162838,1.921802518
Amhr2,0.937911518,2.915838304
Edaradd,0.936496327,1.921802518
Grm8,0.935536299,74.88402916
Esr1,0.934766887,26.8389662
Gm14062,0.93303765,0.596421471
Gm37679,0.932529269,23.65805169
Pax2,0.930144214,6.295559973
Ptgdr,0.928427682,5.500331345
Irs4,0.927465437,1.325381047
Filip1,0.9272907,32.47183565
Msx1,0.925970163,9.410205434
Slit2,0.925796243,67.26308814
Shisa9,0.925666583,43.20742213
Zic4,0.925100263,42.47846256
Cntnap3,0.925091125,4.307488403
Arhgap28,0.924118308,8.614976806
Dkk3,0.922946084,32.2730285
RP24-136L4.6,0.920596277,7.620941021
Reln,0.919595381,45.52683897
Prokr2,0.917472232,12.32604374
Avil,0.917115103,4.970178926
Igfals,0.914759858,0.265076209
Rerg,0.91310713,9.277667329
Wnt5b,0.912874158,32.86944997
Chad,0.912744501,0.397614314
Sulf1,0.911732001,48.70775348
Taf7l,0.91168217,6.75944334
9630041A04Rik,0.910268645,0.397614314
4921539H07Rik,0.906987952,1.060304838
Nrg2,0.906317898,41.48442677
Epn3,0.904319805,2.186878728
Plagl1,0.903359173,7.157057654
Cdh4,0.901996298,22.26640159
Tex101,0.899464364,0.728959576
Dach1,0.899370524,44.20145792
Gpr68,0.8991391,2.186878728
Slc16a8,0.89830592,0.397614314
1700080N15Rik,0.898258008,1.855533466
1700027A15Rik,0.897564325,1.524188204
9330185C12Rik,0.896210583,4.042412194
Prodh2,0.895636832,0.198807157
Gm37876,0.895553401,0.927766733
Kcne2,0.89529975,0.463883366
Gpr50,0.894262079,0.994035785
Sned1,0.892508724,44.9304175
A830092H15Rik,0.891679255,1.789264414
Dach2,0.891537972,19.15175613
Gli3,0.891316516,37.64082174
Igfbpl1,0.889533953,1.192842942
Gm32569,0.888408219,4.837640822
Akr1b7,0.887599771,0.265076209
Otx2os1,0.887080286,1.921802518
Tnfsfm13,0.879752689,1.12657389
4930579H20Rik,0.878681412,3.644797879
Ptpn3,0.878583323,13.25381047
Efna5,0.878431655,66.53412856
Zfhx4,0.877226541,58.18422797
Pax8,0.875602233,2.982107356
Fam20a,0.87427738,29.88734261
Gdpd2,0.87375324,13.12127237
Fsip2,0.87310559,6.626905235
Brinp2,0.872403467,17.42876077
Bnc2,0.871234698,31.47779987
Barx2,0.870864519,6.030483764
Mdfi,0.870065421,3.37972167
Rmst,0.870006852,84.5593108
Frmpd1os,0.869133967,1.192842942
Atoh8,0.867988944,2.120609675
Efnb2,0.866821706,12.25977469
Ecm2,0.866428136,17.49502982
Trpm4,0.866162164,9.145129225
Adgrg3,0.866033614,2.385685885
Tc2n,0.865531235,1.060304838
Tgfb2,0.864873458,22.6640159
Zfp185,0.863584915,1.855533466
Tmem72,0.861645738,0.728959576
Klhl29,0.860979412,23.98939695
Unc93a,0.858253709,0.331345262
Gria1,0.857453125,87.93903247
Mettl24,0.856913969,12.85619616
Frmpd1,0.856820703,20.14579192
Ppm1l,0.855405582,31.14645461
Tmtc4,0.854955654,17.76010603
Gm10964,0.854659746,0.331345262
F5,0.854187728,2.518223989
Gm16141,0.85358065,6.096752816
Gm26883,0.853480458,23.85685885
Pdzd3,0.853346595,0.463883366
Gm26555,0.851803625,2.186878728
Enpep,0.851129036,13.51888668
Nnmt,0.850330488,0.662690524
Rgs7bp,0.84583784,35.45394301
Sntb2,0.844407332,23.45924453
Gm12536,0.84214619,0.728959576
Gm28513,0.84083121,0.596421471
Fzd4,0.840705638,7.819748178
Rnf182,0.839929017,17.69383698
Gm4221,0.83900135,16.16964877
Mlip,0.836543819,2.982107356
4930578G10Rik,0.835422269,19.6156395
Ryr2,0.833723473,32.20675944
Sv2c,0.83191836,13.25381047
Fam83b,0.830220846,1.722995361
Gabrd,0.827296568,1.921802518
Lama2,0.825770068,80.45062956
Gm20395,0.824646079,0.265076209
Kif26b,0.823981819,18.42279655
Clybl,0.822954764,44.00265076
Map4k1,0.822692621,1.524188204
Garem,0.821977799,30.94764745
Tprkb,0.820806492,36.11663353
Cgn,0.818513821,2.385685885
Slc7a8,0.818123443,13.91650099
Hmgcs2,0.81706779,15.37442015
Olfml3,0.816971174,12.85619616
Senp3,0.813416459,13.05500331
Car12,0.812242009,1.391650099
Fmo2,0.812199636,2.982107356
Pde10a,0.812126779,36.5805169
Msi1,0.810569104,15.24188204
Anks6,0.808265864,3.512259775
Pitpnm2,0.807652949,21.0072896
Ammecr1l,0.807028052,23.32670643
Kctd14,0.80694546,1.391650099
4932430I15Rik,0.805201777,2.120609675
9330175M20Rik,0.805099692,8.217362492
Grm4,0.804632227,2.518223989
Ccbe1,0.803627807,11.79589132
Gm12326,0.801941604,13.25381047
Rarb,0.800981929,31.0139165
Ssc5d,0.800642892,1.524188204
Atp8b4,0.800204738,1.259111995
Stac2,0.799111596,4.970178926
Kcnb1,0.798523682,11.53081511
Lamc2,0.794993374,1.524188204
Tiparp,0.790697554,13.58515573
Kif4,0.789998279,1.789264414
Otx2,0.788408292,0.397614314
Drp2,0.788097267,7.090788602
Slc1a3,0.787825515,78.52882704
Slc7a11,0.787374801,59.1119947
Mbnl3,0.787323127,0.861497681
Mdga1,0.787191757,4.970178926
Gm9934,0.787041365,1.722995361
Matn2,0.784152957,8.548707753
Gm16365,0.783266846,6.030483764
Npr1,0.783111845,2.319416832
Cotl1,0.782181133,15.37442015
Rfx4,0.781598742,41.28561962
Oplah,0.780886937,7.88601723
Trpm5,0.779590056,0.463883366
Mdfic,0.779523469,11.1332008
Ccnjl,0.776749963,8.880053015
Acox2,0.775659696,0.728959576
Slc20a2,0.774198932,25.71239231
Slc25a43,0.773872223,3.114645461
Meis1,0.773658305,51.35851557
Slc22a4,0.773509589,12.7899271
RP23-152B12.3,0.771795602,0.265076209
Fbxo41,0.77126323,6.361829026
Col9a3,0.769785018,7.223326706
Cacnb4,0.768964283,45.46056991
Thsd4,0.766809092,20.34459907
Ptger2,0.76678128,0.795228628
Map2k6,0.764023178,31.54406892
Fn1,0.76361459,16.16964877
Epb41l1,0.76140658,23.65805169
Ccdc136,0.760513861,19.88071571
Mpp6,0.759144983,44.99668655
Gm12394,0.75827339,9.741550696
F420014N23Rik,0.755949956,1.722995361
Gm2163,0.755762606,30.21868787
Klrk1,0.754150719,0.596421471
Krt26,0.753996419,0.331345262
Kirrel3,0.752494705,71.63684559
Pla2g7,0.750085707,50.16567263
Cd247,0.748197668,0.596421471
Gm13299,0.746287413,0.198807157
Rftn1,0.745561946,18.62160371
Tmem150c,0.74515959,5.63286945
RP24-72H18.4,0.741766961,1.789264414
Camk2a,0.741591149,8.018555335
Ap1s3,0.741027975,1.12657389
Fbxo2,0.739561181,15.97084162
Asap2,0.738916443,21.66998012
Lrrc38,0.738517792,0.596421471
Dfna5,0.737614207,38.63485752
Gm30340,0.737367513,0.596421471
Tmem178,0.737185618,6.163021869
1700065J11Rik,0.73669261,0.198807157
Cldn2,0.735481232,0.331345262
Rbm47,0.735437782,12.32604374
Cox6b2,0.735434451,5.566600398
Adgrg4,0.73432755,2.186878728
Gas2l3,0.732587116,1.060304838
Arhgef19,0.732520808,9.410205434
Tcea3,0.732435755,2.451954937
Rai2,0.729463498,3.578528827
Mcu,0.727738079,33.46587144
Slc43a2,0.726209333,22.20013254
Nrp2,0.724267115,21.73624917
Zfp521,0.723221397,30.61630219
P2rx6,0.721575206,7.355864811
Fam84b,0.721357364,2.518223989
Tshz2,0.721101701,59.64214712
Ppp1r1a,0.721088049,5.102717031
Ephx2,0.720696356,3.37972167
Gkap1,0.720415391,29.29092114
Gm5622,0.717215114,0.994035785
Golim4,0.716414399,27.76673294
Gm28652,0.715863876,1.524188204
