stage	sample_id	run_accession	source	file_type	location	generated_by	description	expected_cells
raw	6V	SRR13694200	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	6V	SRR13694201	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	6V	SRR13694202	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	6V	SRR13694203	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	9V	SRR13694204	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	9V	SRR13694205	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	14V	SRR13694206	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	14V	SRR13694207	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	21V	SRR13694208	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	21V	SRR13694209	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	21V	SRR13694210	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	21V	SRR13694211	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	23V	SRR13694212	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	23V	SRR13694213	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	25V	SRR13694214	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	25V	SRR13694215	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	19S	SRR13694216	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	19S	SRR13694217	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	19S	SRR13694218	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	19S	SRR13694219	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	22S	SRR13694220	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	22S	SRR13694221	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	22S	SRR13694222	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	22S	SRR13694223	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	26S	SRR13694224	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	26S	SRR13694225	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	31S	SRR13694226	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	31S	SRR13694227	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	36S	SRR13694228	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	36S	SRR13694229	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	39S	SRR13694230	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	39S	SRR13694231	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	40S	SRR13694232	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	40S	SRR13694233	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	7W	SRR13694234	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	7W	SRR13694235	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	12W	SRR13694236	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	12W	SRR13694237	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	12W	SRR13694238	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	12W	SRR13694239	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	16W	SRR13694240	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	16W	SRR13694241	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	20W	SRR13694242	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	20W	SRR13694243	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	27W	SRR13694244	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	27W	SRR13694245	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	34W	SRR13694246	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	34W	SRR13694247	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	37W	SRR13694248	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	37W	SRR13694249	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	4500
raw	SRR19661760	SRR19661760	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	NA
raw	SRR19661761	SRR19661761	SRA	FASTQ	data/fastq/	run_fasterq_dump.sh	Raw paired-end FASTQ files	NA
processed	6V	SRR13694200-SRR13694203	nf-core/cellranger	filtered_feature_bc_matrix	data/count/6V/outs	nf-core/scrnaseq v2.7.1 + Cell Ranger v8.0.0	Cell Ranger count matrix for sample 6V	4500
processed	9V	SRR13694204-SRR13694205	nf-core/cellranger	filtered_feature_bc_matrix	data/count/9V/outs	nf-core/scrnaseq v2.7.1 + Cell Ranger v8.0.0	Cell Ranger count matrix for sample 9V	4500
processed	14V	SRR13694206-SRR13694207	nf-core/cellranger	filtered_feature_bc_matrix	data/count/14V/outs	nf-core/scrnaseq v2.7.1 + Cell Ranger v8.0.0	Cell Ranger count matrix for sample 14V	4500
processed	21V	SRR13694208-SRR13694211	nf-core/cellranger	filtered_feature_bc_matrix	data/count/21V/outs	nf-core/scrnaseq v2.7.1 + Cell Ranger v8.0.0	Cell Ranger count matrix for sample 21V	4500
processed	23V	SRR13694212-SRR13694213	nf-core/cellranger	filtered_feature_bc_matrix	data/count/23V/outs	nf-core/scrnaseq v2.7.1 + Cell Ranger v8.0.0	Cell Ranger count matrix for sample 23V	4500
processed	25V	SRR13694214-SRR13694215	nf-core/cellranger	filtered_feature_bc_matrix	data/count/25V/outs	nf-core/scrnaseq v2.7.1 + Cell Ranger v8.0.0	Cell Ranger count matrix for sample 25V	4500
