gene,log2_fold-change,SE,pvalue,padj
Pnpla1,6.533600043,0.226029575,1.005E-183,1.2101E-182
Wt1,6.498021572,0.130640123,0,0
Lrat,6.473028966,0.092446152,0,0
Ptgdr,6.349118234,0.103592342,0,0
1500015O10Rik,6.19686617,0.117263879,0,0
Wif1,6.105721581,0.096775525,0,0
Gm5624,6.050335589,0.182127078,5.4631E-242,8.7013E-241
Grap2,6.003160038,0.130823581,0,0
Esm1,5.750165055,0.083866613,0,0
Slc22a3,5.718491385,0.095273586,0,0
Ces2e,5.687909911,0.206410706,3.722E-167,4.0395E-166
Cyp1b1,5.680434998,0.069314693,0,0
Dhh,5.64044986,0.137251754,0,0
F5,5.39937955,0.084339987,0,0
Zfp185,5.387390519,0.067998319,0,0
Inmt,5.374931224,0.113305608,0,0
Cd300lg,5.315975047,0.111045871,0,0
Lum,5.240931979,0.101031936,0,0
Hmgcs2,5.134269653,0.050910924,0,0
Ltbp2,5.121276044,0.159725095,1.4436E-225,2.1362E-224
Igfbp5,5.075889557,0.070078073,0,0
Exoc3l2,5.05191209,0.088691431,0,0
Lmx1a,5.05093777,0.078174478,0,0
Slc13a4,4.951761445,0.105410068,0,0
Twist1,4.932622012,0.077941519,0,0
Ntrk1,4.823102355,0.050595342,0,0
Nr5a2,4.822610697,0.171446546,4.3368E-174,4.9431E-173
Slc6a2,4.79205865,0.070820456,0,0
Slc43a3,4.742589234,0.090534266,0,0
Dcn,4.740676598,0.065433302,0,0
Insrr,4.735065628,0.073422301,0,0
Steap4,4.732702065,0.103711707,0,0
Glp1r,4.699554758,0.082285735,0,0
Igfbp4,4.639160209,0.061913495,0,0
Pax5,4.59355424,0.062399057,0,0
Casr,4.588407332,0.074559194,0,0
Tmem221,4.541248984,0.148154383,2.4747E-206,3.3432E-205
H2-Aa,4.535821211,0.08278798,0,0
Cldn3,4.498812355,0.15245398,2.1865E-191,2.7304E-190
Fam180a,4.498218246,0.103149438,0,0
Amhr2,4.497045204,0.07528799,0,0
Gpr50,4.443557196,0.121134198,1.3669E-294,2.8267E-293
Acox2,4.426555338,0.14755255,9.8558E-198,1.2683E-196
Mpzl2,4.421857214,0.148389707,4.0311E-195,5.14E-194
Igfbp6,4.419188389,0.130859014,5.3284E-250,8.9169E-249
Srd5a2,4.384309132,0.163222993,6.2992E-159,6.5171E-158
Tnfsf13,4.375478786,0.119277896,1.3601E-294,2.8159E-293
Olfml3,4.367865659,0.056360196,0,0
H2-Eb1,4.355377448,0.090553882,0,0
Plbd1,4.347465306,0.141050913,1.3312E-208,1.8215E-207
Ccr2,4.340081795,0.125114598,1.1602E-263,2.0837E-262
Tmem8c,4.312795002,0.06990887,0,0
H2-Ab1,4.297768402,0.095871203,0,0
Gdnf,4.248685902,0.117759181,4.765E-285,9.3533E-284
Slc14a2,4.210975555,0.088033224,0,0
Lbp,4.207294271,0.112903161,6.1415E-304,1.3259E-302
Aldh1a2,4.1999811,0.08492531,0,0
Rbm47,4.165638948,0.073372293,0,0
Col3a1,4.160637141,0.074612542,0,0
Fzd4,4.139411808,0.042263248,0,0
Ackr4,4.137714851,0.105811726,0,0
Nes,4.129746308,0.051501691,0,0
Cd74,4.128104328,0.083030539,0,0
Fmod,4.120885893,0.062446368,0,0
Gnb3,4.099678314,0.067300307,0,0
Tnnt1,4.082675214,0.121978712,1.3001E-245,2.1153E-244
Mgp,4.065659898,0.098790537,0,0
Mfap5,4.062535181,0.135372992,7.2806E-198,9.3887E-197
Fam84b,4.043601336,0.038732385,0,0
Shisa8,4.042972213,0.079411914,0,0
Crispld2,4.032363684,0.0671438,0,0
Hkdc1,3.992292821,0.139850552,3.0735E-179,3.6121E-178
Islr,3.971310037,0.07426256,0,0
Fam167b,3.96924634,0.099564269,0,0
Col4a6,3.967840361,0.052576964,0,0
Qprt,3.957658172,0.055540042,0,0
Ogn,3.897614457,0.07734951,0,0
Emp1,3.86877292,0.072727208,0,0
Nid1,3.858337543,0.043356791,0,0
Aqp6,3.858248452,0.064303076,0,0
Cdon,3.857049231,0.04076609,0,0
Col8a2,3.832310306,0.109073347,1.9585E-270,3.5992E-269
Sdpr,3.830136349,0.036853635,0,0
Tcea3,3.818568431,0.086887491,0,0
Tfcp2l1,3.800124844,0.081761869,0,0
Bnc2,3.79592745,0.092455148,0,0
Alox12,3.744772057,0.098113707,0,0
Loxl1,3.704342057,0.065483754,0,0
Gstm2,3.691137669,0.059897154,0,0
Pla2g5,3.690137948,0.077551446,0,0
Trabd2b,3.660805601,0.087823881,0,0
Loxl2,3.659092754,0.054368464,0,0
Vwa7,3.641077999,0.099816268,2.4943E-291,5.0945E-290
Cxcr4,3.632498644,0.067662278,0,0
Siglec1,3.618452684,0.12737899,1.658E-177,1.926E-176
Cybb,3.612330338,0.102517557,5.5799E-272,1.0349E-270
Npr1,3.60248982,0.050698241,0,0
Dnah11,3.596702869,0.12906392,6.5909E-171,7.3735E-170
Ccl2,3.591696745,0.133540797,2.4542E-159,2.5478E-158
Col15a1,3.578287111,0.048902067,0,0
Pcdh12,3.577862228,0.10449425,6.1866E-257,1.0708E-255
Pirt,3.555030893,0.043200247,0,0
Chad,3.554311113,0.13459236,1.1098E-153,1.1108E-152
Mfap4,3.549829759,0.099813754,4.9534E-277,9.3491E-276
Tmem37,3.533444196,0.063802926,0,0
Igfbp3,3.525217139,0.044913335,0,0
Zfp385c,3.519328447,0.092696267,0,0
Gimap4,3.471075053,0.129106519,3.2577E-159,3.3742E-158
Msx1,3.4710448,0.067539206,0,0
Sulf1,3.469940516,0.044365055,0,0
Traf1,3.459444655,0.077295741,0,0
