gene,log2_fold-change,SE,pvalue,padj
Prlh,9.486643959,0.314187798,2.8239E-200,3.6941E-199
Prok1,7.784508829,0.210529071,2.7908E-299,5.906E-298
Frem3,7.086470581,0.209901135,7.3743E-250,1.2318E-248
Nxph2,6.438493591,0.219371176,2.4057E-189,2.9735E-188
Arhgap36,6.43527008,0.176824733,5.3951E-290,1.0933E-288
Calca,6.434571809,0.224821208,3.6985E-180,4.3692E-179
Npsr1,6.41020636,0.258687885,1.4843E-135,1.327E-134
Bmp3,6.295155696,0.147007814,0,0
Foxb1,5.94785632,0.144457519,0,0
Gpr6,5.646976104,0.170056376,8.6756E-242,1.3794E-240
Tac2,5.455891112,0.214817722,2.6691E-142,2.498E-141
Krt9,5.44522474,0.19145836,6.3368E-178,7.3944E-177
F2rl2,5.266978147,0.182634582,6.9841E-183,8.3538E-182
Galr1,5.238974279,0.13041881,0,0
Rspo2,5.20165042,0.159119612,2.1529E-234,3.3269E-233
Nptx2,5.172788747,0.131459633,0,0
Pou3f1,5.16693293,0.068236156,0,0
Dgkk,5.074636447,0.138476839,5.2791E-294,1.0905E-292
Htr4,5.060092584,0.191349018,4.2423E-154,4.2557E-153
Cbln4,4.977750522,0.147132652,6.7409E-251,1.1333E-249
Drd1,4.967875767,0.165293927,1.8898E-198,2.4457E-197
Irx2,4.842088191,0.158790759,3.1765E-204,4.2347E-203
Rasal1,4.772065625,0.091040327,0,0
Wnt7a,4.735582389,0.155371686,4.9383E-204,6.5736E-203
Hcrtr2,4.615270079,0.149883969,3.3239E-208,4.5446E-207
Syt10,4.611285316,0.093305722,0,0
Htr2c,4.586141599,0.142962517,8.5642E-226,1.2694E-224
Mpped1,4.519466959,0.084611304,0,0
Ntsr2,4.429440235,0.091985224,0,0
Ucp3,4.414063955,0.121934518,6.026E-287,1.1984E-285
Prph,4.365811468,0.1324998,4.2908E-238,6.7511E-237
Shox2,4.357278614,0.075420199,0,0
Nkx6-2,4.334764348,0.089928039,0,0
Cdh22,4.3023842,0.089605245,0,0
Irx1,4.257555358,0.064850503,0,0
Igsf1,4.216085251,0.143444398,6.996E-190,8.6766E-189
Sertm1,4.203379462,0.136851842,3.6092E-207,4.8978E-206
Kcnj16,4.167836257,0.083320416,0,0
Dbx2,4.137920557,0.076184956,0,0
Wnt7b,4.118653429,0.07874586,0,0
Pmfbp1,4.055456078,0.102373576,0,0
Synpr,4.038128774,0.048456797,0,0
Amn,4.031744745,0.091126962,0,0
Dkkl1,4.031079771,0.142532765,5.7909E-176,6.6759E-175
Sall3,4.022837084,0.089594456,0,0
Hs3st4,4.018831111,0.097397304,0,0
Krt77,3.962104912,0.084324573,0,0
Sox21,3.961893197,0.081122781,0,0
Tdrd5,3.929211971,0.16157414,1.2548E-130,1.0798E-129
Rxfp1,3.92693954,0.149117402,7.715E-153,7.6589E-152
Pcdh11x,3.924285285,0.067998294,0,0
C130060K24Rik,3.901084401,0.142205076,1.1143E-165,1.1958E-164
Fam196a,3.875490841,0.068499151,0,0
Cbln1,3.869058515,0.156190435,1.8227E-135,1.6287E-134
Qrfpr,3.865439809,0.140838465,7.7742E-166,8.3524E-165
Necab1,3.844089954,0.061806822,0,0
Hsd11b2,3.824811473,0.139616173,3.1295E-165,3.3464E-164
Stk32b,3.771920068,0.065584385,0,0
Pnoc,3.723911391,0.120648989,3.4526E-209,4.7384E-208
Scn11a,3.708667233,0.109967208,2.4691E-249,4.1168E-248
Mc5r,3.708281584,0.120282732,1.048E-208,1.4351E-207
Irx5,3.707062491,0.050940067,0,0
Aldh3b2,3.700780706,0.134572692,1.7443E-166,1.8841E-165
Wnt2b,3.681790966,0.107031537,2.5988E-259,4.5901E-258
Mfsd2a,3.669841106,0.071706233,0,0
Ido2,3.656611384,0.145021419,2.7928E-140,2.5793E-139
Gabra5,3.643856354,0.065119145,0,0
Bmper,3.587922754,0.077110101,0,0
Lypd1,3.574217692,0.055338815,0,0
Myh15,3.5331846,0.142541977,1.2388E-135,1.1086E-134
Prkg2,3.529257958,0.070831511,0,0
Ndp,3.506043069,0.076592053,0,0
Ebf3,3.498205698,0.063308825,0,0
Itih3,3.467745702,0.048181258,0,0
Ano3,3.441551562,0.110694879,3.2441E-212,4.5171E-211
Agt,3.411778148,0.070141365,0,0
Slc14a1,3.391074871,0.080476208,0,0
Rspo3,3.390435296,0.072326836,0,0
1110032F04Rik,3.389615701,0.091952555,1.8335E-297,3.8442E-296
Cldn10,3.381197935,0.052408272,0,0
Lypd6b,3.369127038,0.082522176,0,0
Tnfaip8l3,3.351462484,0.101655016,2.2616E-238,3.5645E-237
Gcnt4,3.334426201,0.120778725,8.9869E-168,9.8299E-167
Vstm2b,3.308807483,0.058853554,0,0
Prdm13,3.300719061,0.135040378,6.0528E-132,5.266E-131
Ak5,3.295950264,0.054334889,0,0
Prlr,3.288875684,0.093028685,8.9053E-274,1.6635E-272
Gjd2,3.258793676,0.055531789,0,0
Galnt9,3.238854476,0.088621911,1.9986E-292,4.105E-291
Nmbr,3.230910457,0.059556825,0,0
Trhr,3.225407688,0.073621267,0,0
Fut9,3.203205349,0.089331575,1.4061E-281,2.7305E-280
Doc2a,3.189432042,0.048305228,0,0
Nog,3.183113321,0.120982004,1.4492E-152,1.4347E-151
BC035947,3.181636721,0.054454697,0,0
Pglyrp1,3.167459758,0.096772016,5.6306E-235,8.7306E-234
Dkk2,3.165173568,0.078212622,0,0
Ccer2,3.161403353,0.102412162,3.0751E-209,4.2267E-208
Car2,3.15385458,0.07104665,0,0
Nkx2-2,3.143166314,0.084214818,6.9018E-305,1.5008E-303
Htr2a,3.129720446,0.116674334,1.6777E-158,1.7317E-157
Hhatl,3.125912597,0.084254738,2.7339E-301,5.84E-300
Paqr6,3.112025594,0.054504716,0,0
Sema3c,3.103260448,0.06064701,0,0
Postn,3.098188645,0.101437306,7.0276E-205,9.41E-204
Fstl4,3.087510033,0.074093758,0,0
Sstr3,3.087389214,0.084265538,6.8971E-294,1.4199E-292
Crabp1,3.055736829,0.060728534,0,0
Lgi4,3.051616962,0.063031282,0,0
Slc9b2,3.041350021,0.084217078,1.4066E-285,2.776E-284
Htr7,3.032582452,0.0709646,0,0
Gpr37,3.00270933,0.084161085,8.6364E-279,1.6506E-277
Trp63,2.957489058,0.110821796,6.6822E-157,6.8239E-156
Hrh3,2.9494035,0.069180591,0,0
4930539E08Rik,2.922004266,0.060970412,0,0
Gja1,2.91430738,0.057394258,0,0
Gpc3,2.913734062,0.04953755,0,0
Ermn,2.887175845,0.109805164,2.2682E-152,2.2407E-151
Sfrp2,2.884845993,0.097155866,9.4642E-194,1.1975E-192
Tekt5,2.849433374,0.08476738,1.0218E-247,1.6866E-246
Npbwr1,2.83934857,0.076567292,5.271E-301,1.1246E-299
Lor,2.83662891,0.082621293,2.5347E-258,4.4337E-257
Adora2b,2.834250148,0.07169453,0,0
Spag5,2.830830817,0.038409126,0,0
Mobp,2.789594839,0.110223201,2.5687E-141,2.3881E-140
Hapln2,2.780001126,0.101730779,2.0246E-164,2.1561E-163
Kcnab3,2.773387087,0.101286426,4.5395E-165,4.8513E-164
Gpc5,2.732693813,0.040585113,0,0
Galnt6,2.727423433,0.101305635,1.1906E-159,1.2395E-158
Insc,2.721890124,0.095815329,1.6259E-177,1.89E-176
Mag,2.720435982,0.095144774,8.3055E-180,9.7733E-179
Bche,2.714597904,0.080725265,6.6255E-248,1.0966E-246
Rorb,2.710704898,0.052652894,0,0
Rbfox3,2.705745491,0.074087836,5.1902E-292,1.0636E-290
Mog,2.695933503,0.09165444,3.6252E-190,4.5022E-189
Fa2h,2.692701636,0.078809809,7.4554E-256,1.2843E-254
Dlk2,2.683000659,0.072075406,2.6987E-303,5.7988E-302
3110035E14Rik,2.682756748,0.051681223,0,0
Ugt8a,2.681351696,0.08654892,9.7902E-211,1.3569E-209
Slc35d3,2.680320772,0.079583487,1.1595E-248,1.9226E-247
Ptchd4,2.679704751,0.085048756,6.7783E-218,9.7137E-217
Acvr1c,2.67823019,0.067450837,0,0
Acss1,2.674059969,0.042135134,0,0
Vwc2,2.668223042,0.061736614,0,0
Ryr3,2.667282261,0.043839048,0,0
Cdh12,2.666025616,0.078041538,8.9871E-256,1.5453E-254
Pcdh15,2.656615447,0.041123976,0,0
Ltk,2.65518998,0.081302048,6.1011E-234,9.4119E-233
Mme,2.647684029,0.091942657,2.3305E-182,2.782E-181
Slc1a2,2.64688627,0.055491604,0,0
Tmem91,2.645955441,0.041315831,0,0
